,id,ms_sub_class,ms_zoning,lot_area,lot_config,bldg_type,overall_cond,year_built,year_remod_add,exterior_1st,bsmt_fin_sf2,total_bsmt_sf,sale_price,is_on_market
0,1,60,RL,8450,Inside,1Fam,5,2003,2003,VinylSd,0.0,856.0,208500.0,True
1,2,20,RL,9600,FR2,1Fam,8,1976,1976,MetalSd,0.0,1262.0,181500.0,True
2,3,60,RL,11250,Inside,1Fam,5,2001,2002,VinylSd,0.0,920.0,223500.0,False
3,4,70,RL,9550,Corner,1Fam,5,1915,1970,Wd Sdng,0.0,756.0,140000.0,True
4,5,60,RL,14260,FR2,1Fam,5,2000,2000,VinylSd,0.0,1145.0,250000.0,True
5,6,50,RL,14115,Inside,1Fam,5,1993,1995,VinylSd,0.0,796.0,143000.0,False
6,7,20,RL,10084,Inside,1Fam,5,2004,2005,VinylSd,0.0,1686.0,307000.0,False
7,8,60,RL,10382,Corner,1Fam,6,1973,1973,HdBoard,32.0,1107.0,200000.0,True
8,9,50,RM,6120,Inside,1Fam,5,1931,1950,BrkFace,0.0,952.0,129900.0,True
9,10,190,RL,7420,Corner,2fmCon,6,1939,1950,MetalSd,0.0,991.0,118000.0,False
10,11,20,RL,11200,Inside,1Fam,5,1965,1965,HdBoard,0.0,1040.0,129500.0,True
11,12,60,RL,11924,Inside,1Fam,5,2005,2006,WdShing,0.0,1175.0,345000.0,True
12,13,20,RL,12968,Inside,1Fam,6,1962,1962,HdBoard,0.0,912.0,144000.0,False
13,14,20,RL,10652,Inside,1Fam,5,2006,2007,VinylSd,0.0,1494.0,279500.0,False
14,15,20,RL,10920,Corner,1Fam,5,1960,1960,MetalSd,0.0,1253.0,157000.0,True
15,16,45,RM,6120,Corner,1Fam,8,1929,2001,Wd Sdng,0.0,832.0,132000.0,False
16,17,20,RL,11241,CulDSac,1Fam,7,1970,1970,Wd Sdng,0.0,1004.0,149000.0,True
17,18,90,RL,10791,Inside,Duplex,5,1967,1967,MetalSd,0.0,0.0,90000.0,True
18,19,20,RL,13695,Inside,1Fam,5,2004,2004,VinylSd,0.0,1114.0,159000.0,False
19,20,20,RL,7560,Inside,1Fam,6,1958,1965,BrkFace,0.0,1029.0,139000.0,False
20,21,60,RL,14215,Corner,1Fam,5,2005,2006,VinylSd,0.0,1158.0,325300.0,True
21,22,45,RM,7449,Inside,1Fam,7,1930,1950,Wd Sdng,0.0,637.0,139400.0,False
22,23,20,RL,9742,Inside,1Fam,5,2002,2002,VinylSd,0.0,1777.0,230000.0,False
23,24,120,RM,4224,Inside,TwnhsE,7,1976,1976,CemntBd,0.0,1040.0,129900.0,True
24,25,20,RL,8246,Inside,1Fam,8,1968,2001,Plywood,668.0,1060.0,154000.0,False
25,26,20,RL,14230,Corner,1Fam,5,2007,2007,VinylSd,0.0,1566.0,256300.0,True
26,27,20,RL,7200,Corner,1Fam,7,1951,2000,Wd Sdng,486.0,900.0,134800.0,True
27,28,20,RL,11478,Inside,1Fam,5,2007,2008,VinylSd,0.0,1704.0,306000.0,True
28,29,20,RL,16321,CulDSac,1Fam,6,1957,1997,MetalSd,0.0,1484.0,207500.0,True
29,30,30,RM,6324,Inside,1Fam,6,1927,1950,MetalSd,0.0,520.0,68500.0,False
30,31,70,C (all),8500,Inside,1Fam,4,1920,1950,BrkFace,0.0,649.0,40000.0,False
31,32,20,RL,8544,CulDSac,1Fam,6,1966,2006,HdBoard,0.0,1228.0,149350.0,True
32,33,20,RL,11049,Corner,1Fam,5,2007,2007,VinylSd,0.0,1234.0,179900.0,True
33,34,20,RL,10552,Inside,1Fam,5,1959,1959,BrkFace,0.0,1398.0,165500.0,False
34,35,120,RL,7313,Inside,TwnhsE,5,2005,2005,MetalSd,0.0,1561.0,277500.0,False
35,36,60,RL,13418,Inside,1Fam,5,2004,2005,VinylSd,0.0,1117.0,309000.0,False
36,37,20,RL,10859,Corner,1Fam,5,1994,1995,VinylSd,0.0,1097.0,145000.0,True
37,38,20,RL,8532,Inside,1Fam,6,1954,1990,Wd Sdng,0.0,1297.0,153000.0,True
38,39,20,RL,7922,Inside,1Fam,7,1953,2007,VinylSd,0.0,1057.0,109000.0,False
39,40,90,RL,6040,Inside,Duplex,5,1955,1955,AsbShng,0.0,0.0,82000.0,True
40,41,20,RL,8658,Inside,1Fam,5,1965,1965,Wd Sdng,0.0,1088.0,160000.0,False
41,42,20,RL,16905,Inside,1Fam,6,1959,1959,VinylSd,0.0,1350.0,170000.0,False
42,43,85,RL,9180,CulDSac,1Fam,7,1983,1983,HdBoard,93.0,840.0,144000.0,False
43,44,20,RL,9200,CulDSac,1Fam,6,1975,1980,VinylSd,491.0,938.0,130250.0,True
44,45,20,RL,7945,Inside,1Fam,6,1959,1959,BrkFace,506.0,1150.0,141000.0,False
45,46,120,RL,7658,Inside,TwnhsE,5,2005,2005,MetalSd,0.0,1752.0,319900.0,True
46,47,50,RL,12822,CulDSac,1Fam,5,2003,2003,VinylSd,0.0,1434.0,239686.0,True
47,48,20,FV,11096,Inside,1Fam,5,2006,2006,VinylSd,0.0,1656.0,249700.0,False
48,49,190,RM,4456,Inside,2fmCon,5,1920,2008,MetalSd,0.0,736.0,113000.0,False
49,50,20,RL,7742,Inside,1Fam,7,1966,1966,HdBoard,0.0,955.0,127000.0,True
50,51,60,RL,13869,Corner,1Fam,6,1997,1997,VinylSd,0.0,794.0,177000.0,False
51,52,50,RM,6240,Inside,1Fam,6,1934,1950,Wd Sdng,0.0,816.0,114500.0,False
52,53,90,RM,8472,Corner,Duplex,5,1963,1963,Wd Sdng,712.0,816.0,110000.0,False
53,54,20,RL,50271,Inside,1Fam,5,1981,1987,WdShing,0.0,1842.0,385000.0,False
54,55,80,RL,7134,Inside,1Fam,5,1955,1955,MetalSd,0.0,384.0,130000.0,False
55,56,20,RL,10175,Inside,1Fam,5,1964,1964,HdBoard,0.0,1425.0,180500.0,False
