,id,ms_sub_class,ms_zoning,lot_area,lot_config,bldg_type,overall_cond,year_built,year_remod_add,exterior_1st,bsmt_fin_sf2,total_bsmt_sf,sale_price,is_on_market
0,0,60,RL,8450,Inside,1Fam,5,2003,2003,VinylSd,0.0,856.0,208500.0,True
1,1,20,RL,9600,FR2,1Fam,8,1976,1976,MetalSd,0.0,1262.0,181500.0,True
2,2,60,RL,11250,Inside,1Fam,5,2001,2002,VinylSd,0.0,920.0,223500.0,False
3,3,70,RL,9550,Corner,1Fam,5,1915,1970,Wd Sdng,0.0,756.0,140000.0,False
4,4,60,RL,14260,FR2,1Fam,5,2000,2000,VinylSd,0.0,1145.0,250000.0,True
5,5,50,RL,14115,Inside,1Fam,5,1993,1995,VinylSd,0.0,796.0,143000.0,True
6,6,20,RL,10084,Inside,1Fam,5,2004,2005,VinylSd,0.0,1686.0,307000.0,True
7,7,60,RL,10382,Corner,1Fam,6,1973,1973,HdBoard,32.0,1107.0,200000.0,True
8,8,50,RM,6120,Inside,1Fam,5,1931,1950,BrkFace,0.0,952.0,129900.0,False
9,9,190,RL,7420,Corner,2fmCon,6,1939,1950,MetalSd,0.0,991.0,118000.0,True
10,10,20,RL,11200,Inside,1Fam,5,1965,1965,HdBoard,0.0,1040.0,129500.0,True
11,11,60,RL,11924,Inside,1Fam,5,2005,2006,WdShing,0.0,1175.0,345000.0,False
12,12,20,RL,12968,Inside,1Fam,6,1962,1962,HdBoard,0.0,912.0,144000.0,True
13,13,20,RL,10652,Inside,1Fam,5,2006,2007,VinylSd,0.0,1494.0,279500.0,False
14,14,20,RL,10920,Corner,1Fam,5,1960,1960,MetalSd,0.0,1253.0,157000.0,False
15,15,45,RM,6120,Corner,1Fam,8,1929,2001,Wd Sdng,0.0,832.0,132000.0,False
16,16,20,RL,11241,CulDSac,1Fam,7,1970,1970,Wd Sdng,0.0,1004.0,149000.0,True
17,17,90,RL,10791,Inside,Duplex,5,1967,1967,MetalSd,0.0,0.0,90000.0,True
18,18,20,RL,13695,Inside,1Fam,5,2004,2004,VinylSd,0.0,1114.0,159000.0,True
19,19,20,RL,7560,Inside,1Fam,6,1958,1965,BrkFace,0.0,1029.0,139000.0,True
20,20,60,RL,14215,Corner,1Fam,5,2005,2006,VinylSd,0.0,1158.0,325300.0,False
