,is_on_market
0,True
1,True
2,False
3,False
4,True
5,True
6,True
7,True
8,False
9,True
10,True
11,False
12,True
13,False
14,False
15,False
16,True
17,True
18,True
19,True
20,False
21,False
22,False
23,True
24,False
25,True
26,True
27,True
28,True
29,False
30,False
31,True
32,False
33,False
34,True
35,False
36,True
37,False
38,False
39,False
40,False
41,True
42,False
43,True
44,False
45,False
46,True
47,True
48,False
49,True
50,False
51,False
52,False
53,True
54,False
55,True
56,False
57,True
58,False
59,False
60,True
61,True
62,False
63,True
64,False
65,True
66,True
67,False
68,True
69,True
70,False
71,False
72,False
73,True
74,False
75,True
76,False
77,False
78,True
79,False
80,True
81,False
82,False
83,False
84,False
85,True
86,True
87,True
88,False
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,True
102,False
103,False
104,False
105,True
106,False
107,False
108,True
109,False
110,True
111,True
112,True
113,False
114,True
115,True
116,True
117,True
118,True
119,False
120,False
121,False
122,True
123,True
124,False
125,False
126,True
127,False
128,False
129,False
130,True
131,False
132,True
133,True
134,False
135,False
136,False
137,False
138,False
139,True
140,True
141,False
142,True
143,True
144,True
145,True
146,True
147,False
148,False
149,True
150,True
151,False
152,False
153,True
154,False
155,True
156,True
157,False
158,True
159,False
160,False
161,False
162,False
163,False
164,False
165,False
166,True
167,False
168,False
169,True
170,True
171,True
172,False
173,True
174,True
175,False
176,True
177,True
178,False
179,False
180,False
181,False
182,False
183,False
184,False
185,False
186,True
187,True
188,True
189,True
190,False
191,True
192,False
193,True
194,False
195,True
196,True
197,True
198,False
199,False
200,False
201,True
202,False
203,True
204,False
205,True
206,True
207,False
208,True
209,True
210,True
211,True
212,True
213,True
214,False
215,True
216,False
217,False
218,True
219,True
220,False
221,False
222,False
223,True
224,True
225,True
226,True
227,False
228,True
229,True
230,False
231,True
232,False
233,False
234,False
235,True
236,False
237,True
238,True
239,True
240,False
241,False
242,False
243,True
244,False
245,True
246,True
247,False
248,True
249,True
250,False
251,False
252,False
253,False
254,False
255,False
256,True
257,False
258,False
259,True
260,False
261,False
262,False
263,True
264,True
265,False
266,True
267,True
268,True
269,False
270,False
271,True
272,False
273,True
274,False
275,True
276,True
277,False
278,True
279,True
280,False
281,True
282,True
283,True
284,True
285,False
286,True
287,True
288,False
289,True
290,False
291,True
292,True
293,False
294,True
295,False
296,True
297,False
298,False
299,False
300,True
301,True
302,True
303,True
304,True
305,True
306,False
307,False
308,False
309,False
310,True
311,False
312,False
313,True
314,False
315,True
316,True
317,False
318,True
319,True
320,True
321,False
322,False
323,True
324,False
325,False
326,True
327,False
328,False
329,False
330,True
331,False
332,True
333,False
334,False
335,False
336,True
337,False
338,False
339,False
340,False
341,False
342,False
343,False
344,False
345,False
346,True
347,True
348,True
349,False
350,False
351,True
352,True
353,False
354,True
355,False
356,False
357,True
358,False
359,False
360,True
361,True
362,True
363,False
364,False
365,True
366,False
367,True
368,False
369,False
370,False
371,False
372,False
373,False
374,False
375,False
376,True
377,True
378,True
379,True
380,True
381,True
382,True
383,True
384,False
385,True
386,False
387,True
388,True
389,False
390,False
391,True
392,True
393,False
394,True
395,False
396,False
397,True
398,True
399,True
400,False
401,False
402,False
403,True
404,False
405,False
406,True
407,True
408,False
409,True
410,False
411,True
412,False
413,False
414,True
415,False
416,False
417,False
418,False
419,True
420,False
421,True
422,False
423,False
424,False
425,True
426,True
427,False
428,True
429,True
430,True
431,True
432,False
433,True
434,False
435,True
436,True
437,True
438,False
439,False
440,False
441,True
442,False
443,True
444,False
445,False
446,False
447,True
448,False
449,False
450,True
451,True
452,True
453,True
454,False
455,True
456,True
457,False
458,True
459,True
460,False
461,True
462,True
463,False
464,False
465,False
466,False
467,False
468,True
469,False
470,False
471,True
472,True
473,True
474,False
475,False
476,False
477,False
478,False
479,False
480,False
481,False
482,False
483,False
484,False
485,True
486,True
487,False
488,False
489,True
490,False
491,True
492,False
493,True
494,True
495,True
496,True
497,True
498,True
499,False
500,True
501,True
502,True
503,False
504,False
505,False
506,True
507,True
508,False
509,True
510,True
511,True
512,True
513,False
514,False
515,True
516,True
517,False
518,False
519,True
520,True
521,True
522,False
523,False
524,True
525,False
526,False
527,False
528,True
529,True
530,False
531,False
532,True
533,True
534,False
535,False
536,True
537,True
538,False
539,False
540,True
541,True
542,True
543,True
544,True
545,False
546,False
547,True
548,False
549,True
550,False
551,False
552,True
553,True
554,True
555,False
556,False
557,False
558,False
559,False
560,True
561,True
562,False
563,True
564,True
565,True
566,False
567,True
568,False
569,False
570,False
571,True
572,True
573,False
574,False
575,True
576,False
577,True
578,True
579,False
580,True
581,True
582,False
583,False
584,True
585,True
586,False
587,True
588,True
589,True
590,False
591,True
592,False
593,True
594,True
595,False
596,False
